"case_1","case_2","accused_in_common"
"Caso ERE/Aglomerados Morell","Caso ERE/Franja Pirítica",2
"Caso ERE/Aglomerados Morell","Caso ERE/González Byass",2
"Caso ERE/Aglomerados Morell","Caso ERE/Instaladora Moderna",3
"Caso ERE/Aglomerados Morell","Caso ERE/Ubago Group Mare",2
"Caso ERE/Aglomerados Morell","Caso ERE/Universidad de Sevilla",3
"Caso ERE/Franja Pirítica","Caso ERE/González Byass",3
"Caso ERE/Franja Pirítica","Caso ERE/Instaladora Moderna",4
"Caso ERE/Franja Pirítica","Caso ERE/Ubago Group Mare",2
"Caso ERE/Franja Pirítica","Caso ERE/Universidad de Sevilla",2
"Caso ERE/González Byass","Caso ERE/Instaladora Moderna",3
"Caso ERE/González Byass","Caso ERE/Ubago Group Mare",3
"Caso ERE/González Byass","Caso ERE/Universidad de Sevilla",2
"Caso ERE/Instaladora Moderna","Caso ERE/Ubago Group Mare",3
"Caso ERE/Instaladora Moderna","Caso ERE/Universidad de Sevilla",5
"Caso ERE/Ubago Group Mare","Caso ERE/Universidad de Sevilla",2
"CASO INESTUR/IMET","CASO INESTUR/PLOMER",1
"Caso Lezo/Tren Navalcarnero","Caso Villarejo/Pit",1
"Caso Plaza","Caso Plaza/Aulario",1
"CASO COOPERACIÓN/PIEZA 1","Caso Cooperación/Piezas 2 y 3",5
"Caso ERE/Acyco","Caso ERE/Hamsa Primayor",4
"Caso ERE/Acyco","Caso ERE/Pieza Política",5
"Caso ERE/Acyco","Caso ERE/SK 3000",3
"Caso ERE/Acyco","Caso ERE/Surcolor",5
"Caso ERE/Hamsa Primayor","Caso ERE/Pieza Política",5
"Caso ERE/Hamsa Primayor","Caso ERE/SK 3000",4
"Caso ERE/Hamsa Primayor","Caso ERE/Surcolor",6
"Caso ERE/Pieza Política","Caso ERE/SK 3000",5
"Caso ERE/Pieza Política","Caso ERE/Surcolor",4
"Caso ERE/SK 3000","Caso ERE/Surcolor",3
"Caso Sanlúcar","Caso Terán",1
"Caso Gürtel/Primera Época","Caso Lezo/Mercasa",1
"Caso Gürtel/Primera Época","Caso Púnica/Financiación PP",1
"Caso Lezo/Mercasa","Caso Púnica/Financiación PP",1
"Caso Pokemon/Concello Santiago","Caso Pokemon/Vendex",1
"Caso Faycán","Caso Paraíso",1
"Caso Púnica/Eico y Madiva","Caso Púnica/Murcia",1
"Caso Amnistía Fiscal","Caso Gürtel/Arganda",1
"Caso Amnistía Fiscal","Caso Gürtel/Boadilla",1
"Caso Amnistía Fiscal","Caso Gürtel/Primera Época",1
"Caso Gürtel/Arganda","Caso Gürtel/Boadilla",7
"Caso Gürtel/Arganda","Caso Gürtel/Primera Época",5
"Caso Gürtel/Boadilla","Caso Gürtel/Primera Época",8
"Caso Clepsidra","Caso Taula",1
"Caso Imelsa","Caso Taula",4
"Caso Colmenar Viejo","Caso Colmenar Viejo II",4
"Caso La Loma","Caso Proconor",13
